Open Date,Open Price $,Open Predicted Price $
2021-04-18,60006.67,58823.61
2021-04-19,56150.01,56745.75
2021-04-20,55633.14,56467.28
2021-04-21,56425.0,56893.91
2021-04-22,53787.62,55472.96
2021-04-23,51690.95,54343.34
2021-04-24,51110.56,54030.64
2021-04-25,50047.84,53458.08
2021-04-26,49066.76,52929.5
2021-04-27,54001.38,55588.13
2021-04-28,55011.97,56132.61
2021-04-29,54846.23,56043.31
2021-04-30,53555.0,55347.63
2021-05-01,57697.25,57579.36
2021-05-02,57797.35,57633.29
2021-05-03,56578.21,56976.45
2021-05-04,57169.39,57294.96
2021-05-05,53205.05,55159.09
2021-05-06,57436.11,57438.67
2021-05-07,56393.68,56877.03
2021-05-08,57315.49,57373.68
2021-05-09,58866.53,58209.34
2021-05-10,58240.83,57872.23
2021-05-11,55816.14,56565.87
2021-05-12,56670.02,57025.92
